date,open,high,low,close,tick_volume,spread,real_volume
01/01/2002,278.2,278.7,276.7,278.7,351,0,0
02/01/2002,278.2,278.95,277.35,278.5,291,0,0
03/01/2002,278,279.75,276.55,278.2,621,0,0
04/01/2002,277.55,279.15,276.8,278.7,356,0,0
07/01/2002,277.9,280.01,276.9,278.5,563,0,0
08/01/2002,278,279.5,277.75,278.8,271,0,0
09/01/2002,278.3,284.15,278.2,283.95,626,0,0
10/01/2002,283.1,289,282.3,286.15,1036,0,0
11/01/2002,285.65,287.65,285.15,287.3,336,0,0
14/01/2002,286.1,286.85,284.35,284.9,381,0,0
15/01/2002,284.5,285,282.55,284.4,481,0,0
16/01/2002,283.9,289,283.05,286.9,891,0,0
17/01/2002,286.65,288.35,283.55,283.8,676,0,0
18/01/2002,283.3,284.3,282.45,283.3,371,0,0
21/01/2002,282.8,283.55,281.5,282.3,361,0,0
22/01/2002,281.8,283.55,280.5,281.35,566,0,0
23/01/2002,280.9,282.5,278.15,279,681,0,0
24/01/2002,278.5,279.35,277.35,279,351,0,0
25/01/2002,278.25,279.2,277.75,279.2,196,0,0
28/01/2002,278.7,279.4,277.95,278.5,271,0,0
29/01/2002,277.9,281.7,276.6,281.7,641,0,0
30/01/2002,281.2,283.5,279.2,281.7,811,0,0
31/01/2002,281.2,282.95,280.75,282.95,266,0,0
01/02/2002,282.2,286.7,281.45,286,671,0,0
04/02/2002,285.25,291.6,284.9,291.6,706,0,0
05/02/2002,289.6,298.5,289.1,297.3,1111,0,0
06/02/2002,296.95,306.5,295.5,296.5,2156,0,0
07/02/2002,296.38,303,296.38,303,663,0,0
08/02/2002,301,308.3,299.6,303.5,1491,0,0
11/02/2002,303,304.8,297.1,299,1141,0,0
12/02/2002,298.5,301.75,296.9,300,821,0,0
13/02/2002,299.5,300.4,295.1,299.25,1036,0,0
14/02/2002,298.75,300.2,297.4,299.7,466,0,0
15/02/2002,298.9,301.8,297.4,297.6,751,0,0
18/02/2002,298,298.88,296.38,297.5,451,0,0
19/02/2002,297,298.35,292,292.85,856,0,0
20/02/2002,292.35,293.9,290.3,291.2,606,0,0
21/02/2002,290.7,293.5,289.55,292.5,611,0,0
22/02/2002,292,294.12,291.1,292.5,555,0,0
25/02/2002,292.25,292.8,290.4,292.3,476,0,0
26/02/2002,291.8,297.55,291.68,297.5,605,0,0
27/02/2002,297,299.12,295.15,296.1,705,0,0
28/02/2002,296.1,297.55,295.4,296.3,411,0,0
01/03/2002,295.8,299.05,294.75,297.9,651,0,0
04/03/2002,297.1,299.62,296.35,296.6,605,0,0
05/03/2002,296.1,299,293.55,294.05,886,0,0
06/03/2002,293.3,294.55,292.1,293.25,486,0,0
07/03/2002,292.65,293.15,289.05,289.3,486,0,0
08/03/2002,288.8,289.85,287.4,289.5,421,0,0
11/03/2002,289.35,293.45,288.9,290.95,751,0,0
12/03/2002,290.45,295.15,290,294.1,666,0,0
13/03/2002,293.1,294.4,292.45,293.1,391,0,0
14/03/2002,292.6,293.3,290.05,291,491,0,0
15/03/2002,290.5,291.15,288.85,289.8,391,0,0
18/03/2002,289.8,293.38,289.5,292.8,477,0,0
19/03/2002,291.8,293.55,291.35,292.95,326,0,0
20/03/2002,292.45,292.8,291.2,292.1,286,0,0
21/03/2002,291.6,293.15,291.6,292.9,181,0,0
22/03/2002,292.9,298.38,292.6,298,647,0,0
25/03/2002,296.9,298.3,296.6,298.1,221,0,0
26/03/2002,297.25,297.75,295.35,296.5,406,0,0
27/03/2002,296.25,302.8,295.85,302,816,0,0
28/03/2002,301.5,304.27,300,302.4,765,0,0
29/03/2002,301.9,303,301.75,302.25,216,0,0
01/04/2002,301.75,303.1,300.45,303.1,396,0,0
02/04/2002,302.6,306.2,301.88,305.6,565,0,0
03/04/2002,305.1,306.45,300.8,302.3,851,0,0
04/04/2002,301.8,302.5,298.45,300.75,706,0,0
05/04/2002,300.25,301.75,297.75,299.8,756,0,0
08/04/2002,299.35,300.75,297.95,300.25,471,0,0
09/04/2002,299.75,299.8,297.75,298.3,266,0,0
10/04/2002,297.8,301.65,296.75,301,661,0,0
11/04/2002,300.5,302.75,298.5,302.4,661,0,0
12/04/2002,301.65,301.9,299.7,301.9,416,0,0
15/04/2002,301.4,302.2,299.15,299.6,431,0,0
16/04/2002,299.1,299.5,297.15,298.75,436,0,0
17/04/2002,298.25,302.15,297.6,301.8,556,0,0
18/04/2002,301.3,305.6,301,303.4,711,0,0
19/04/2002,302.9,304.8,300.7,302.1,741,0,0
22/04/2002,301.5,304,301.35,302.65,416,0,0
23/04/2002,302,304.05,301.5,303.4,371,0,0
24/04/2002,303.4,306.05,303,304.3,521,0,0
25/04/2002,303.55,308.6,303.55,307.4,626,0,0
26/04/2002,307.15,311.5,305.6,311.1,786,0,0
29/04/2002,310.25,312,308,311.05,721,0,0
30/04/2002,310.55,310.85,306.55,308.2,626,0,0
01/05/2002,307.7,310.35,306.7,308.85,616,0,0
02/05/2002,308.1,308.75,306.35,307.6,431,0,0
03/05/2002,307.1,312.85,307.05,311.7,701,0,0
06/05/2002,311,312.7,310,311.2,521,0,0
07/05/2002,310.7,313.4,308.6,311.3,901,0,0
08/05/2002,310.8,312.55,307.55,308,721,0,0
09/05/2002,308,310.75,307.55,309.8,461,0,0
10/05/2002,308.8,311.45,308.6,310.8,371,0,0
13/05/2002,310.1,311.25,308.85,310.7,421,0,0
14/05/2002,310,310.35,306.45,307.4,521,0,0
15/05/2002,306.9,308.8,305.95,308.8,381,0,0
16/05/2002,308.3,310.15,308.1,309.6,281,0,0
17/05/2002,309.4,311.65,308.75,310.8,441,0,0
20/05/2002,310.1,316.15,309.75,315.7,721,0,0
21/05/2002,315.2,316.75,311.5,315.9,981,0,0
22/05/2002,315.2,319.35,315.1,317.4,631,0,0
23/05/2002,316.9,323.48,315,321.8,1207,0,0
24/05/2002,321.3,322.25,317.3,320.3,891,0,0
